Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Maule,,,,,1,,2020/04/02,,11.0,82.0,,,,7,1131939,7.244206622441669
Ñuble,,,,,0,,2020/04/02,,82.0,341.0,,,,16,511551,66.6600202130384
Biobío,,,,,2,,2020/04/02,,35.0,275.0,,,,8,1663696,16.529462113270696
Araucanía,,,,,7,,2020/04/02,,46.0,389.0,,,,9,1014343,38.349946714277124
Los Ríos,,,,,1,,2020/04/02,,4.0,68.0,,,,14,405835,16.755578005839812
Los Lagos,,,,,0,,2020/04/02,,22.0,203.0,,,,10,891440,22.772143946872475
Aysén,,,,,0,,2020/04/02,,2.0,5.0,,,,11,107297,4.659962533901227
Magallanes,,,,,0,,2020/04/02,,15.0,114.0,,,,12,178362,63.91495946445992
Arica y Parinacota,,,,,3,,2020/04/28,,3.0,268.0,,,,15,252110,106.30280433144262
Tarapacá,,,,,1,,2020/04/28,,5.0,169.0,,,,1,382773,44.15149448890073
Antofagasta,,,,,4,,2020/04/28,,24.0,481.0,,,,2,691854,69.52333873909814
Atacama,,,,,0,,2020/04/28,,0.0,35.0,,,,3,314709,11.121385152633067
Coquimbo,,,,,0,,2020/04/28,,0.0,74.0,,,,4,836096,8.850658297611757
Valparaíso,,,,,10,,2020/04/28,,8.0,493.0,,,,5,1960170,25.15087977063214
Metropolitana,,,,,100,,2020/04/28,,442.0,8300.0,,,,13,8125072,102.15294092163123
O’Higgins,,,,,1,,2020/04/28,,3.0,97.0,,,,6,991063,9.787470624975406
Maule,,,,,12,,2020/04/28,,21.0,384.0,,,,7,1131939,33.924089548995134
Ñuble,,,,,14,,2020/04/28,,6.0,747.0,,,,16,511551,146.0264958919052
Biobío,,,,,7,,2020/04/28,,3.0,709.0,,,,8,1663696,42.61595868475972
Araucanía,,,,,32,,2020/04/28,,15.0,1251.0,,,,9,1014343,123.33106256956472
Los Ríos,,,,,4,,2020/04/28,,0.0,180.0,,,,14,405835,44.353000603693616
Los Lagos,,,,,9,,2020/04/28,,0.0,477.0,,,,10,891440,53.50892937270035
Aysén,,,,,0,,2020/04/28,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,10,,2020/04/28,,22.0,693.0,,,,12,178362,388.53567463921684
Arica y Parinacota,,,,,0,,2020/03/21,,0.0,1.0,,,,15,252110,0.3966522549680695
Tarapacá,,,,,0,,2020/03/21,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/21,,4.0,10.0,,,,2,691854,1.4453916577775079
Atacama,,,,,0,,2020/03/21,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/21,,0.0,3.0,,,,4,836096,0.358810471524801
Valparaíso,,,,,0,,2020/03/21,,8.0,13.0,,,,5,1960170,0.6632077829984134
Metropolitana,,,,,0,,2020/03/21,,55.0,359.0,,,,13,8125072,4.418422384441639
O’Higgins,,,,,0,,2020/03/21,,1.0,7.0,,,,6,991063,0.706312313142555
Maule,,,,,0,,2020/03/21,,1.0,15.0,,,,7,1131939,1.3251597480076223
Ñuble,,,,,0,,2020/03/21,,14.0,58.0,,,,16,511551,11.338067954123831
Biobío,,,,,0,,2020/03/21,,11.0,30.0,,,,8,1663696,1.8032140487204391
Araucanía,,,,,0,,2020/03/21,,6.0,15.0,,,,9,1014343,1.4787897190595292
Los Ríos,,,,,0,,2020/03/21,,0.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/21,,2.0,20.0,,,,10,891440,2.243560979987436
Aysén,,,,,0,,2020/03/21,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/21,,1.0,3.0,,,,12,178362,1.6819726174857872
Arica y Parinacota,471.0,18.0,15.0,3.0,7,0.76%,2020/05/22,,,,,,,15,252110,
Tarapacá,1393.0,147.0,121.0,26.0,5,2.25%,2020/05/22,,,,,,,1,382773,
Antofagasta,1841.0,63.0,55.0,8.0,17,2.98%,2020/05/22,,,,,,,2,691854,
Atacama,175.0,7.0,3.0,4.0,0,0.28%,2020/05/22,,,,,,,3,314709,
Coquimbo,281.0,13.0,10.0,3.0,2,0.45%,2020/05/22,,,,,,,4,836096,
Valparaíso,2020.0,133.0,120.0,13.0,40,3.27%,2020/05/22,,,,,,,5,1960170,
Metropolitana,48350.0,3709.0,3374.0,335.0,423,78.16%,2020/05/22,,,,,,,13,8125072,
O’Higgins,492.0,27.0,21.0,6.0,8,0.80%,2020/05/22,,,,,,,6,991063,
Maule,782.0,51.0,50.0,1.0,15,1.26%,2020/05/22,,,,,,,7,1131939,
Ñuble,1025.0,5.0,5.0,0.0,21,1.66%,2020/05/22,,,,,,,16,511551,
Biobío,1311.0,48.0,43.0,5.0,10,2.12%,2020/05/22,,,,,,,8,1663696,
Araucanía,1737.0,22.0,22.0,0.0,45,2.81%,2020/05/22,,,,,,,9,1014343,
Los Ríos,262.0,4.0,4.0,0.0,6,0.42%,2020/05/22,,,,,,,14,405835,
Los Lagos,717.0,24.0,15.0,9.0,13,1.16%,2020/05/22,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.01%,2020/05/22,,,,,,,11,107297,
Magallanes,992.0,5.0,5.0,0.0,18,1.60%,2020/05/22,,,,,,,12,178362,
Arica y Parinacota,,,,,2,,2020/04/20,,16.0,161.0,,,,15,252110,63.861013049859196
Tarapacá,,,,,0,,2020/04/20,,3.0,93.0,,,,1,382773,24.296384541229397
Antofagasta,,,,,1,,2020/04/20,,14.0,263.0,,,,2,691854,38.01380059954846
Atacama,,,,,0,,2020/04/20,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/20,,1.0,69.0,,,,4,836096,8.252640845070422
Valparaíso,,,,,5,,2020/04/20,,7.0,388.0,,,,5,1960170,19.79420152333726
Metropolitana,,,,,67,,2020/04/20,,262.0,5643.0,,,,13,8125072,69.45169224346566
O’Higgins,,,,,0,,2020/04/20,,1.0,56.0,,,,6,991063,5.65049850514044
Maule,,,,,10,,2020/04/20,,2.0,304.0,,,,7,1131939,26.85657089295448
Ñuble,,,,,13,,2020/04/20,,9.0,687.0,,,,16,511551,134.29746007729435
Biobío,,,,,3,,2020/04/20,,10.0,626.0,,,,8,1663696,37.627066483299835
Araucanía,,,,,23,,2020/04/20,,73.0,1045.0,,,,9,1014343,103.02235042781386
Los Ríos,,,,,3,,2020/04/20,,5.0,162.0,,,,14,405835,39.91770054332426
Los Lagos,,,,,6,,2020/04/20,,3.0,424.0,,,,10,891440,47.56349277573364
Aysén,,,,,0,,2020/04/20,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/20,,13.0,566.0,,,,12,178362,317.33216716565187
Arica y Parinacota,,,,,0,,2020/03/24,,0.0,2.0,,,,15,252110,0.793304509936139
Tarapacá,,,,,0,,2020/03/24,,3.0,4.0,,,,1,382773,1.045005786719544
Antofagasta,,,,,0,,2020/03/24,,2.0,13.0,,,,2,691854,1.8790091551107604
Atacama,,,,,0,,2020/03/24,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/24,,5.0,11.0,,,,4,836096,1.315638395590937
Valparaíso,,,,,0,,2020/03/24,,6.0,25.0,,,,5,1960170,1.2753995826892566
Metropolitana,,,,,2,,2020/03/24,,81.0,540.0,,,,13,8125072,6.6460949515278145
O’Higgins,,,,,0,,2020/03/24,,1.0,9.0,,,,6,991063,0.9081158311832851
Maule,,,,,0,,2020/03/24,,1.0,29.0,,,,7,1131939,2.561975512814737
Ñuble,,,,,0,,2020/03/24,,24.0,105.0,,,,16,511551,20.525812675569007
Biobío,,,,,0,,2020/03/24,,27.0,73.0,,,,8,1663696,4.387820851886402
Araucanía,,,,,0,,2020/03/24,,19.0,59.0,,,,9,1014343,5.816572894967481
Los Ríos,,,,,0,,2020/03/24,,2.0,6.0,,,,14,405835,1.478433353456454
Los Lagos,,,,,0,,2020/03/24,,3.0,36.0,,,,10,891440,4.038409763977385
Aysén,,,,,0,,2020/03/24,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/24,,2.0,8.0,,,,12,178362,4.485260313295433
